Surname,#Awards,Education
Khan,10,"['University of Malaya', 'COMSATS University']"
Aalst,0,['Technische Universiteit Eindhoven']
Aaronson,4,"['Cornell University', 'University of California, Berkeley']"
Abebe,3,"['Cornell University', 'University of Cambridge', 'Harvard University']"
Abelson,1,"['Princeton University', 'Massachusetts Institute of Technology']"
Abiteboul,4,['University of Southern California']
Abramsky,4,"[""King's College, Cambridge"", 'Queen Mary University of London']"
Adleman,2,"['University of California, Berkeley']"
Agrawal,8,['Indian Institute of Technology Kanpur']
Ahn,3,"['Duke University', 'BS', 'Carnegie Mellon University']"
Aho,7,"['University of Toronto', 'Princeton University']"
Allen,6,"['University at Albany', 'University of Michigan']"
Amdahl,2,"['South Dakota State University', 'BS', 'University of Wisconsin', 'MS', 'PhD']"
Anderson,2,"['Wesleyan University', 'University of Wisconsin-Madison']"
Anthony,6,['Drexel University']
Appel,0,['Princeton University']
Aragon,1,"['California Institute of Technology', 'University of California, Berkeley']"
Arden,0,['Purdue University']
Jones,0,"['Tennessee State University', 'North Carolina State University']"
Arora,0,"['SB', 'Massachusetts Institute of Technology', 'PhD', 'UC Berkeley']"
Asprey,0,"['Vassar College', 'University of Iowa']"
Atanasoff,2,"['University of Florida', 'Iowa State University', 'University of Wisconsin–Madison']"
Atre,0,"['University of Poona', 'University of Heidelberg']"
Babbage,2,"['Peterhouse, Cambridge']"
Bachman,3,"['University of Pennsylvania', 'Michigan State University']"
Backhouse,0,"['Churchill College, Cambridge', 'Imperial College London']"
Backus,3,"['University of Virginia', 'University of Pittsburgh', 'Haverford College', 'Columbia University']"
Bacon,1,['U.C. Berkeley']
Bader,5,"['Lehigh University', 'University of Maryland, College Park']"
Bahl,4,"['University of Massachusetts, Amherst', 'Modern School, New Delhi']"
Barr,0,['North Carolina State University']
Bartik,4,"['Northwest Missouri State Teachers College', 'University of Pennsylvania']"
Barto,3,['University of Michigan']
Bauer,3,['Ludwig-Maximilians-Universität']
Bayer,2,['University of Illinois at Urbana–Champaign']
Bell,8,['MIT']
Bellovin,0,"['Columbia University', 'University of North Carolina at Chapel Hill']"
Berdichevsky,0,[]
Berners-Lee,5,"[""The Queen's College, Oxford""]"
Bernstein,0,"['University of California, Berkeley', 'New York University']"
Bernus,0,['Budapest Technical University']
Bhushan,0,"['Indian Institute of Technology Kanpur', 'Massachusetts Institute of Technology', 'MIT Sloan School of Management']"
Bjørner,4,['Technical University of Denmark']
Blaauw,0,['Delft University of Technology']
Black,1,['London South Bank University']
Blei,2,"['Brown University', 'University of California, Berkeley']"
Blum,0,['Brooklyn College']
Blum,3,"['Simmons College', 'Massachusetts Institute of Technology']"
Blum,4,"['Massachusetts Institute of Technology', 'BA', 'MA', 'PhD']"
Boehm,3,['Harvard University']
Böhm,0,['ETH Zürich']
Bollacker,0,[]
Bonwick,0,[]
