,Surname,#Awards,Education
0,Khan,10,"['University of Malaya', 'COMSATS University']"
1,Aalst,0,['Technische Universiteit Eindhoven']
2,Aaronson,4,"['Cornell University', 'University of California, Berkeley']"
3,Abebe,3,"['Cornell University', 'University of Cambridge', 'Harvard University']"
4,Abelson,1,"['Princeton University', 'Massachusetts Institute of Technology']"
5,Abiteboul,4,['University of Southern California']
6,Abramsky,4,"[""King's College, Cambridge"", 'Queen Mary University of London']"
7,Adleman,2,"['University of California, Berkeley']"
8,Agrawal,8,['Indian Institute of Technology Kanpur']
9,Ahn,3,"['Duke University', 'BS', 'Carnegie Mellon University']"
10,Aho,7,"['University of Toronto', 'Princeton University']"
11,Allen,6,"['University at Albany', 'University of Michigan']"
12,Amdahl,2,"['South Dakota State University', 'BS', 'University of Wisconsin', 'MS', 'PhD']"
13,Anderson,2,"['Wesleyan University', 'University of Wisconsin-Madison']"
14,Anthony,6,['Drexel University']
15,Appel,0,['Princeton University']
16,Aragon,1,"['California Institute of Technology', 'University of California, Berkeley']"
17,Arden,0,['Purdue University']
18,Jones,0,"['Tennessee State University', 'North Carolina State University']"
19,Arora,0,"['SB', 'Massachusetts Institute of Technology', 'PhD', 'UC Berkeley']"
20,Asprey,0,"['Vassar College', 'University of Iowa']"
21,Atanasoff,2,"['University of Florida', 'Iowa State University', 'University of Wisconsin–Madison']"
22,Atre,0,"['University of Poona', 'University of Heidelberg']"
23,Babbage,2,"['Peterhouse, Cambridge']"
24,Bachman,3,"['University of Pennsylvania', 'Michigan State University']"
25,Backhouse,0,"['Churchill College, Cambridge', 'Imperial College London']"
26,Backus,3,"['University of Virginia', 'University of Pittsburgh', 'Haverford College', 'Columbia University']"
27,Bacon,1,['U.C. Berkeley']
28,Bader,5,"['Lehigh University', 'University of Maryland, College Park']"
29,Bahl,4,"['University of Massachusetts, Amherst', 'Modern School, New Delhi']"
30,Barr,0,['North Carolina State University']
31,Bartik,4,"['Northwest Missouri State Teachers College', 'University of Pennsylvania']"
32,Barto,3,['University of Michigan']
33,Bauer,3,['Ludwig-Maximilians-Universität']
34,Bayer,2,['University of Illinois at Urbana–Champaign']
35,Bell,8,['MIT']
36,Bellovin,0,"['Columbia University', 'University of North Carolina at Chapel Hill']"
37,Berdichevsky,0,[]
38,Berners-Lee,5,"[""The Queen's College, Oxford""]"
39,Bernstein,0,"['University of California, Berkeley', 'New York University']"
40,Bernus,0,['Budapest Technical University']
41,Bhushan,0,"['Indian Institute of Technology Kanpur', 'Massachusetts Institute of Technology', 'MIT Sloan School of Management']"
42,Bjørner,4,['Technical University of Denmark']
43,Blaauw,0,['Delft University of Technology']
44,Black,1,['London South Bank University']
45,Blei,2,"['Brown University', 'University of California, Berkeley']"
46,Blum,0,['Brooklyn College']
47,Blum,3,"['Simmons College', 'Massachusetts Institute of Technology']"
48,Blum,4,"['Massachusetts Institute of Technology', 'BA', 'MA', 'PhD']"
49,Boehm,3,['Harvard University']
50,Böhm,0,['ETH Zürich']
51,Bollacker,0,[]
52,Bonwick,0,[]
53,Booch,2,"['U.S. Air Force Academy', 'B.S.', 'University of California, Santa Barbara', 'M.S.']"
54,Boole,17,['[3]']
55,Booth,0,['Jesus College']
56,Booth,0,[]
57,Borg,18,['New York University']
58,Bos,0,[]
59,Botvinnik,0,[]
60,Bowen,4,"['University College', 'Oxford']"
61,Bourne,3,"[""King's College London"", 'BSc', 'Trinity College, Cambridge', 'Diploma in Computer Science', 'Ph.D.']"
62,Bouwman,0,['VU University Amsterdam']
63,Boyer,0,"['Ph.D.', 'Mathematics']"
64,Brandenburg,1,['University of Erlangen-Nuremberg']
65,Brassard,3,[]
66,Breed,2,[]
67,Bresenham,0,['Winthrop University']
68,Brin,5,"['University of Maryland, College Park', 'BS', 'Stanford University', 'MS']"
69,Brown,0,['University of Pennsylvania']
70,Hansen,1,['Technical University of Denmark']
71,Brinkkemper,0,['University of Amsterdam']
72,Brooks,5,"['Duke University', 'Harvard University']"
73,Brooks,1,"['Stanford University', 'Flinders University']"
74,Burnett,0,[]
75,Butler,0,"['Trinity College, Dublin', 'Wolfson College', 'Oxford']"
76,Gil,3,[]
77,Camp,2,"['The College of William and Mary', 'Michigan State University', 'Kalamazoo College']"
78,Campbell-Kelly,0,['Sunderland Polytechnic']
79,Candlin,0,['University of Cambridge']
80,Canion,0,['University of Houston']
81,Cantrill,0,[]
82,Cardelli,2,"['University of Pisa', 'University of Edinburgh']"
83,Carmack,0,['University of Missouri–Kansas City']
84,Caspersen,8,"['Aarhus U.', 'Aarhus U.', '[11]', 'PhD', 'Aarhus U.']"
85,Catmull,4,['University of Utah']
86,Cerf,12,"['Stanford University', 'BS', 'University of California, Los Angeles', 'MS', 'PhD']"
87,Chaitin,0,[]
88,Cailliau,12,"['Ghent University', 'University of Michigan']"
89,Chaochen,3,[]
90,Chen,7,"['National Taiwan University', 'Harvard University']"
91,Chiariglione,8,['Polytechnic University of Turin']
92,Chou,0,"['Stanford University', '[1]', 'B.S.', 'M.S.']"
93,Church,0,"['Princeton University', 'BS', 'PhD']"
94,Ciaramella,0,[]
95,Clarke,1,['Cornell University']
96,Cocke,6,['Duke University']
97,Codd,3,"['Exeter College, Oxford', 'University of Michigan']"
98,Cohen,0,[]
99,Coldwater,0,[]
100,Colton,0,"['Durham University', 'University of Liverpool', 'University of Edinburgh']"
101,Colmerauer,0,[]
102,Comer,8,[]
103,Compton,0,[]
104,Conway,2,"['Cornell', 'PhD', 'Cornell']"
105,Cormack,0,[]
106,Cook,8,"['Harvard University', 'University of Michigan']"
107,Cooley,0,[]
108,Cooper,0,"['University of California, Los Angeles', 'BA']"
109,Corbató,2,"['California Institute of Technology', 'Massachusetts Institute of Technology']"
110,Cosper,0,[]
111,Cousot,8,['École Nationale Supérieure des Mines de Nancy']
112,Cox,4,"['University College London', 'Oxford University']"
113,Cray,0,['University of Minnesota']
114,Cristianini,3,"['University of Trieste', 'University of London', 'University of Bristol']"
115,Crowcroft,2,"['University of Cambridge', 'University College London']"
116,Croft,8,['Monash University']
117,Culler,5,"['University of California, Berkeley', 'University of California, Los Angeles']"
118,Curry,0,"['Harvard University', 'University of Göttingen']"
119,Dadda,0,['Politecnico di Milano']
120,Dahl,2,['University of Oslo']
121,Dahl,0,"['UC San Diego', 'University of Rochester']"
122,Dam,0,[]
123,Das,0,"['Georgia Tech', 'Indian Institute of Science', 'Jadavpur University']"
124,Daswani,0,"['Stanford University', 'Columbia University']"
125,Date,0,['University of Cambridge']
126,Davis,0,"[""Bachelor's degree"", 'computer engineering', ""master's degree"", 'electrical engineering', 'Arizona State University']"
127,Dean,6,"['University of Minnesota', 'University of Washington']"
128,Demaine,3,"['Dalhousie University', 'University of Waterloo']"
129,DeMarco,2,"['Cornell University', 'Columbia University', 'University of Paris']"
130,DeMillo,0,"['University of St. Thomas', 'Georgia Institute of Technology']"
131,Denning,2,"['University of Michigan', 'Purdue University']"
132,Denning,2,"['Massachusetts Institute of Technology', '[1]', 'Manhattan College']"
133,Dertouzos,0,[]
134,Dewdney,0,[]
135,Dewar,0,"['University of Chicago', 'B.S.', 'Ph.D.']"
136,Dham,0,"['Delhi College of Engineering', 'Delhi Technological University', 'Delhi University', 'University of Cincinnati']"
137,Dietz,0,['Eindhoven University of Technology']
138,Diffie,6,['Massachusetts Institute of Technology']
139,Dijkstra,5,"['Leiden University', 'University of Amsterdam']"
140,Dillon,0,"['University of California, Berkeley']"
141,Dix,0,[]
142,Dongarra,15,"['Chicago State University', 'BS', 'Illinois Institute of Technology', 'MS', 'University of New Mexico', 'PhD']"
143,Dorigo,0,[]
144,Dourish,7,['Computer Science']
145,Draper,6,"['Massachusetts Institute of Technology', 'Stanford University']"
146,Dumais,1,"['Indiana University', 'Bates College']"
147,Dunkels,0,"['Swedish Institute of Computer Science', 'B.S.', 'M.S.', 'Ph.D.']"
148,Dunn,11,"['Oberlin College', 'University of Pittsburgh']"
149,Dustdar,0,[]
150,Eades,0,[]
151,Easley,0,['Cleveland State University']
152,Ebbinkhuijsen,0,[]
153,Eckert,4,['University of Pennsylvania']
154,Edelman,7,"['MIT', 'Yale University']"
155,Eich,0,"['University of Illinois Urbana-Champaign', 'Santa Clara University']"
156,Emeagwali,0,"['George Washington University School of Engineering and Applied Science', 'Oregon State University']"
157,Emerson,2,"['Harvard', 'UT Austin']"
158,Engelbart,7,"['Oregon State University', 'University of California, Berkeley']"
159,Engelhardt,2,"['Stanford University', 'University of California, Berkeley']"
160,Eppstein,0,"['Stanford University', 'Columbia University']"
161,Yershov,0,['Moscow State University']
162,Estridge,0,['University of Florida']
163,Etzioni,2,"['Harvard University', 'Carnegie Mellon University']"
164,Evans,0,"['University College London', 'University of Reading']"
165,Evans,3,[]
166,Even,0,['Harvard University']
